text,start,duration,end,clean_text,tokens,word_count,sentiment,sentiment_num,entities,time_bin
"♪ “Neon: 1. Shinjuku” by Hannah Peel 
& Manchester Collective ♪",0.163,3.771,3.9339999999999997,"♪ “neon: 1. shinjuku” by hannah peel 
& manchester collective ♪","['by', 'hannah', 'peel', 'manchester', 'collective']",5,NEGATIVE,-1,"[('1', 'CARDINAL'), ('hannah peel \n& manchester', 'PERSON')]",0.0
[HANDOFF TO HOMEPOD CONFIRMATION],11.942,1.635,13.577,[handoff to homepod confirmation],"['to', 'homepod']",2,NEGATIVE,-1,[],0.0
[CAMERA SHUTTER],14.411,1.001,15.411999999999999,[camera shutter],[],0,NEGATIVE,-1,[],0.0
[CHARGING CONFIRMATION],15.579,1.501,17.080000000000002,[charging confirmation],[],0,POSITIVE,1,[],0.0
[LOCATE REMOTE CHIME],18.615,1.969,20.584,[locate remote chime],['remote'],1,POSITIVE,1,[],0.0
[AIRTAG RATTLES],23.353,1.869,25.222,[airtag rattles],[],0,NEGATIVE,-1,[],0.0
[PLANE ENGINE WHIRRS],25.222,1.668,26.89,[plane engine whirrs],['engine'],1,POSITIVE,1,[],0.0
[BIRDS CHIRP],26.89,1.402,28.292,[birds chirp],[],0,POSITIVE,1,[],0.0
[OWL HOOTS],28.425,2.503,30.928,[owl hoots],[],0,NEGATIVE,-1,[],0.0
[HAPTIC CLICKS],32.162,2.002,34.164,[haptic clicks],[],0,NEGATIVE,-1,[],0.0
[PLUG THUNKS],36.199,1.135,37.333999999999996,[plug thunks],[],0,NEGATIVE,-1,[],0.0
[BASEBALL ANNOUNCER ON TV],39.169,3.27,42.439,[baseball announcer on tv],"['announcer', 'on']",2,NEGATIVE,-1,[],0.0
[PAYMENT SUCCESS CHIME],46.343,1.235,47.578,[payment success chime],['success'],1,POSITIVE,1,[],0.0
[NAMEDROP NOTIFICATION],47.911,1.368,49.279,[namedrop notification],[],0,NEGATIVE,-1,[],0.0
[HEART BEATING],55.352,4.004,59.355999999999995,[heart beating],[],0,POSITIVE,1,[],0.0
[MESSAGE SENT NOTIFICATION],59.856,1.268,61.124,[message sent notification],['sent'],1,NEGATIVE,-1,[],0.0
[SNAPPING INTO PLACE],64.828,2.669,67.497,[snapping into place],['into'],1,POSITIVE,1,[],0.0
[CHARGER CONNECTED CONFIRMATION],67.564,1.468,69.032,[charger connected confirmation],['connected'],1,NEGATIVE,-1,[],0.0
"♪ “Neon: 1. Shinjuku” by Hannah Peel 
& Manchester Collective ♪",70.0,3.57,73.57,"♪ “neon: 1. shinjuku” by hannah peel 
& manchester collective ♪","['by', 'hannah', 'peel', 'manchester', 'collective']",5,NEGATIVE,-1,"[('1', 'CARDINAL'), ('hannah peel \n& manchester', 'PERSON')]",0.0
Good morning!,96.159,1.035,97.194,good morning!,['good'],1,POSITIVE,1,[],0.0
Welcome to Apple Park!,97.26,1.969,99.229,welcome to apple park!,"['welcome', 'to', 'apple']",3,POSITIVE,1,[],0.0
"At Apple, design has always been
fundamental to who we are and what we do.",99.596,5.439,105.035,"at apple, design has always been
fundamental to who we are and what we do.","['at', 'design', 'has', 'always', 'been', 'fundamental', 'to', 'who', 'we', 'are', 'and', 'what', 'we']",13,POSITIVE,1,[],0.0
"For us, design goes beyond just how
something looks or feels.",105.068,4.338,109.40599999999999,"for us, design goes beyond just how
something looks or feels.","['for', 'design', 'goes', 'beyond', 'just', 'how', 'something', 'looks', 'or']",9,POSITIVE,1,[],0.0
Design is also how it works.,109.439,2.536,111.975,design is also how it works.,"['design', 'is', 'also', 'how', 'it']",5,POSITIVE,1,[],0.0
"This philosophy guides everything
we do, including the products",112.275,3.838,116.113,"this philosophy guides everything
we do, including the products","['this', 'philosophy', 'guides', 'everything', 'we', 'including', 'the', 'products']",8,POSITIVE,1,[],0.0
"we’re going to introduce today
and the experiences they provide.",116.146,4.705,120.851,"we’re going to introduce today
and the experiences they provide.","['going', 'to', 'introduce', 'today', 'and', 'the', 'experiences', 'they']",8,POSITIVE,1,"[('today', 'DATE')]",0.0
"From the magical listening experience
with AirPods to the ways your Apple Watch",120.984,4.872,125.856,"from the magical listening experience
with airpods to the ways your apple watch","['from', 'the', 'magical', 'listening', 'experience', 'with', 'airpods', 'to', 'the', 'ways', 'your', 'apple', 'watch']",13,POSITIVE,1,[],120.0
"keeps you healthy, active, and connected
to how iPhone helps you",125.889,4.671,130.56,"keeps you healthy, active, and connected
to how iphone helps you","['keeps', 'you', 'and', 'connected', 'to', 'how', 'iphone', 'helps', 'you']",9,POSITIVE,1,[],120.0
with so many things throughout your day.,130.594,2.636,133.23,with so many things throughout your day.,"['with', 'so', 'many', 'things', 'throughout', 'your']",6,POSITIVE,1,[],120.0
"It’s also true of our new software design
featuring our innovative Liquid Glass.",133.597,6.206,139.803,"it’s also true of our new software design
featuring our innovative liquid glass.","['also', 'true', 'of', 'our', 'new', 'software', 'design', 'featuring', 'our', 'innovative', 'liquid']",11,POSITIVE,1,[],120.0
"It brings fluidity,
vitality and flexibility",139.803,3.604,143.407,"it brings fluidity,
vitality and flexibility","['it', 'brings', 'vitality', 'and', 'flexibility']",5,POSITIVE,1,[],120.0
to the things you do every day.,143.44,2.336,145.776,to the things you do every day.,"['to', 'the', 'things', 'you', 'do', 'every']",6,POSITIVE,1,[],120.0
"It’s absolutely gorgeous,",145.976,2.402,148.378,"it’s absolutely gorgeous,",['absolutely'],1,POSITIVE,1,[],120.0
"and delivers a more
intuitive and delightful user experience.",148.412,5.005,153.417,"and delivers a more
intuitive and delightful user experience.","['and', 'delivers', 'a', 'more', 'intuitive', 'and', 'delightful', 'user']",8,POSITIVE,1,[],120.0
"We bring so much care
and consideration to every detail.",153.717,4.304,158.02100000000002,"we bring so much care
and consideration to every detail.","['we', 'bring', 'so', 'much', 'care', 'and', 'consideration', 'to', 'every']",9,POSITIVE,1,[],120.0
"From every product, service and technology
we create to the welcoming nature",158.255,5.739,163.994,"from every product, service and technology
we create to the welcoming nature","['from', 'every', 'service', 'and', 'technology', 'we', 'create', 'to', 'the', 'welcoming', 'nature']",11,POSITIVE,1,[],120.0
"of our retail stores, design
is at the core of everything we do.",164.027,5.839,169.86599999999999,"of our retail stores, design
is at the core of everything we do.","['of', 'our', 'retail', 'design', 'is', 'at', 'the', 'core', 'of', 'everything', 'we']",11,POSITIVE,1,[],120.0
"Today we have a huge day of announcements
about AirPods and Apple Watch,",170.133,5.372,175.505,"today we have a huge day of announcements
about airpods and apple watch,","['today', 'we', 'have', 'a', 'huge', 'day', 'of', 'announcements', 'about', 'airpods', 'and', 'apple']",12,POSITIVE,1,"[('today', 'DATE')]",120.0
"and we’re taking the biggest
leap ever for iPhone.",175.539,3.57,179.10899999999998,"and we’re taking the biggest
leap ever for iphone.","['and', 'taking', 'the', 'biggest', 'leap', 'ever', 'for']",7,POSITIVE,1,[],120.0
Let’s start with AirPods.,179.476,2.302,181.778,let’s start with airpods.,"['start', 'with']",2,NEGATIVE,-1,[],120.0
"AirPods are the best and most
popular headphones in the world.",181.812,4.337,186.149,"airpods are the best and most
popular headphones in the world.","['airpods', 'are', 'the', 'best', 'and', 'most', 'popular', 'headphones', 'in', 'the']",10,POSITIVE,1,[],120.0
"With an iconic design and groundbreaking
sound quality, they have revolutionized",186.349,5.172,191.521,"with an iconic design and groundbreaking
sound quality, they have revolutionized","['with', 'an', 'iconic', 'design', 'and', 'groundbreaking', 'sound', 'they', 'have', 'revolutionized']",10,POSITIVE,1,[],120.0
"the industry and raised the bar
for what headphones should be.",191.555,4.638,196.193,"the industry and raised the bar
for what headphones should be.","['the', 'industry', 'and', 'raised', 'the', 'bar', 'for', 'what', 'headphones', 'should']",10,NEGATIVE,-1,[],120.0
"AirPods deliver a truly magical user
experience, from an effortless setup",196.359,6.207,202.566,"airpods deliver a truly magical user
experience, from an effortless setup","['airpods', 'deliver', 'a', 'truly', 'magical', 'user', 'from', 'an', 'effortless', 'setup']",10,POSITIVE,1,[],120.0
"to their amazing sound quality to working
seamlessly across your Apple products.",202.599,5.372,207.971,"to their amazing sound quality to working
seamlessly across your apple products.","['to', 'their', 'amazing', 'sound', 'quality', 'to', 'working', 'seamlessly', 'across', 'your', 'apple']",11,POSITIVE,1,[],120.0
