post,clean_post,vader_sentiment,textblob_sentiment,label,label_num
Problems with Bold text in Messaging,problem bold text messaging,neutral,positive,positive,1
Plaisio.gr Iphone 17 available in store pick up?,plaisiogr iphone available store pick,neutral,positive,positive,1
Iphone 17 Pro Max - blinking green pixel in AOD,iphone pro max blinking green pixel aod,neutral,negative,negative,0
Moving to a new phone.,moving new phone,neutral,positive,positive,1
does app refreshing happen on latest iphones?,app refreshing happen latest iphones,neutral,positive,positive,1
Best store to pre-order iphone 17 pro max,best store preorder iphone pro max,positive,positive,positive,1
Best device for pubg.,best device pubg,positive,positive,positive,1
lovely midnight apple silicone case combination for the iphone 17 pro max deep blue,lovely midnight apple silicone case combination iphone pro max deep blue,positive,positive,positive,1
Unable to login on IPhone 17 Pro Max,unable login iphone pro max,neutral,negative,negative,0
Dust under brand new iphone 17 pro max camera lens,dust brand new iphone pro max camera lens,neutral,positive,positive,1
"My first iphone, 17 pro max through mercantile",first iphone pro max mercantile,neutral,positive,positive,1
Iphone 17 ProMax camera is incredible,iphone promax camera incredible,neutral,positive,positive,1
Iphone 17 ProMax camera is incredible,iphone promax camera incredible,neutral,positive,positive,1
Camera sound. should i be worried?,camera sound worried,negative,positive,positive,1
Why all these Screen protectors suck so much?,screen protector suck much,negative,positive,positive,1
My new iPhone 17 Pro Max (Cosmic Orange) feels special,new iphone pro max cosmic orange feel special,positive,positive,positive,1
Weird contacts bug,weird contact bug,negative,negative,negative,0
IPhone 17 Pro Max Night Mode Shots of Northern Lights,iphone pro max night mode shot northern light,neutral,positive,positive,1
sell as rep to curious buyers,sell rep curious buyer,positive,negative,negative,0
Mous Limitless vs Spigen Tough Armor for Iphone 17 Pro Max,mous limitless v spigen tough armor iphone pro max,negative,negative,negative,0
My iphone 17 Pro max Screen on time 12h im surprised 🧡🪩.,iphone pro max screen time h im surprised,positive,positive,positive,1
My iphone 17 Pro max Screen on time 12h im surprised 🧡🪩.,iphone pro max screen time h im surprised,positive,positive,positive,1
My iPhone17 pro max is SO BEAUTIFUL 🧡🪩.,iphone pro max beautiful,positive,positive,positive,1
Having second thoughts about buying the new IPhone 17 Pro Max,second thought buying new iphone pro max,neutral,positive,positive,1
Second thoughts about buying the new IPhone 17 Pro Max,second thought buying new iphone pro max,neutral,positive,positive,1
I didn't expect to like my IPhone 17 Pro Max this much...,didnt expect like iphone pro max much,negative,positive,positive,1
is there any cover that completely disables the useless camera button ?,cover completely disables useless camera button,negative,negative,negative,0
"I cracked my phone, am I still able to get $1,100 toward the iphone 17 pro max?",cracked phone still able get toward iphone pro max,neutral,positive,positive,1
Iphone 17 pro max: New York Times games don’t work,iphone pro max new york time game dont work,neutral,negative,negative,0
Slow speeds when connected to Carplay.,slow speed connected carplay,neutral,negative,negative,0
I want to order a case from dbrand iphone 17 pro max be honest is it worth the price ?,want order case dbrand iphone pro max honest worth price,positive,positive,positive,1
what’s your favorite device setup?,whats favorite device setup,positive,positive,positive,1
what’s your favorite steam link setup?,whats favorite steam link setup,positive,positive,positive,1
orange phone so loud it made me forget the 17 even dropped,orange phone loud made forget even dropped,negative,positive,positive,1
New Phone Dilemma... Advice Needed,new phone dilemma advice needed,negative,positive,positive,1
iPhone 17 Camera Clicking Sound - driven by iOS 26 or Hardware?,iphone camera clicking sound driven io hardware,neutral,positive,positive,1
General Feelings of the IPhone 17 Pro Max and IOS26,general feeling iphone pro max io,positive,positive,positive,1
iPhone 17 Pro Max Review: First Week Ownership Experience,iphone pro max review first week ownership experience,neutral,positive,positive,1
Low power mode is very annoying on iOS26,low power mode annoying io,negative,negative,negative,0
Favorite slim profile magsafe wallet that can fit 4 cards?,favorite slim profile magsafe wallet fit card,positive,positive,positive,1
I ordered an iphone 17 pro max on 9/15 but it’s not slated to arrive until like 11/7. Is that normal? A lot of people i know ordered theirs way later than me and already received their phones.,ordered iphone pro max slated arrive like normal lot people know ordered way later already received phone,positive,positive,positive,1
Is the iphone 17 pro max really annoying to hold in your pocket/hand ?,iphone pro max really annoying hold pockethand,negative,negative,negative,0
UniFi Cloud Gateway Ultra and slow downloads from iPhone AppStore,unifi cloud gateway ultra slow downloads iphone appstore,neutral,negative,negative,0
Iphone 17 Pro Max vs Pixel 10 Pro XL: The Answer Is Clear,iphone pro max v pixel pro xl answer clear,positive,positive,positive,1
Apple forced me to pay 1.1k dollars,apple forced pay k dollar,negative,negative,negative,0
iPhone 17 Pro Max | iOS26 Is Actually Crazy Battery Nightmare | Power Consumption Deep Dive,iphone pro max io actually crazy battery nightmare power consumption deep dive,negative,negative,negative,0
"My relative (typical marwari) Earning 10 lac per month , but still using nokia keypad and when ask to them answer is ""kya karna hai""",relative typical marwari earning lac per month still using nokia keypad ask answer kya karna hai,neutral,negative,negative,0
Upgraded to new iphone 17 pro max and activated it successfully last night. Then Visible reversed the activation this morning and re-activated my old phone?,upgraded new iphone pro max activated successfully last night visible reversed activation morning reactivated old phone,positive,positive,positive,1
Is the new iphone worth it?,new iphone worth,positive,positive,positive,1
Iphone 17 pro max battery draining too fast,iphone pro max battery draining fast,neutral,positive,positive,1
Game file now switching to new device,game file switching new device,neutral,negative,negative,0
Spigen vs RhinoShield Camera Protectors – Are They Worth It?,spigen v rhinoshield camera protector worth,positive,positive,positive,1
Google Store return new phone after trade in completed.,google store return new phone trade completed,neutral,positive,positive,1
Upgrading from Iphone 13 to Iphone 17 Pro Max - Worth it?,upgrading iphone iphone pro max worth,positive,positive,positive,1
ATT Unlimited Premium -> USM Dark Star Premium - Any catch?,att unlimited premium usm dark star premium catch,neutral,negative,negative,0
I keep getting subbed to random channel I don't remember doing so.,keep getting subbed random channel dont remember,neutral,negative,negative,0
