post,country,clean_post,sentiment,post_length,vader_compound,vader_sentiment,textblob_sentiment,label,lstm_pred,lstm_sentiment
Problems with Bold text in Messaging,United States,problems bold text messaging,positive,28,-0.0258,neutral,positive,positive,2,positive
Plaisio.gr Iphone 17 available in store pick up?,United States,plaisio gr iphone available store pick,positive,38,0.0,neutral,positive,positive,2,positive
Iphone 17 Pro Max - blinking green pixel in AOD,United States,iphone pro max blinking green pixel aod,negative,39,0.0,neutral,negative,negative,2,positive
Moving to a new phone.,United States,moving new phone,positive,16,0.0,neutral,positive,positive,2,positive
does app refreshing happen on latest iphones?,United States,app refreshing happen latest iphones,positive,36,0.0,neutral,positive,positive,2,positive
Best store to pre-order iphone 17 pro max,Philippines,best store pre order iphone pro max,positive,35,0.6369,positive,positive,positive,2,positive
Best device for pubg.,United States,best device pubg,positive,16,0.6369,positive,positive,positive,2,positive
lovely midnight apple silicone case combination for the iphone 17 pro max deep blue,United States,lovely midnight apple silicone case combination iphone pro max deep blue,positive,72,0.5859,positive,positive,positive,2,positive
Unable to login on IPhone 17 Pro Max,United States,unable login iphone pro max,negative,27,0.0,neutral,negative,negative,2,positive
Dust under brand new iphone 17 pro max camera lens,United States,dust brand new iphone pro max camera lens,positive,41,0.0,neutral,positive,positive,2,positive
"My first iphone, 17 pro max through mercantile",Pakistan,first iphone pro max mercantile,positive,31,0.0,neutral,positive,positive,2,positive
Iphone 17 ProMax camera is incredible,United States,iphone promax camera incredible,positive,31,0.0,neutral,positive,positive,2,positive
Iphone 17 ProMax camera is incredible,United States,iphone promax camera incredible,positive,31,0.0,neutral,positive,positive,2,positive
Camera sound. should i be worried?,United States,camera sound worried,positive,20,-0.296,negative,positive,positive,2,positive
Why all these Screen protectors suck so much?,United States,screen protectors suck much,negative,27,-0.4404,negative,positive,positive,2,positive
My new iPhone 17 Pro Max (Cosmic Orange) feels special,United States,new iphone pro max cosmic orange feels special,positive,46,0.4019,positive,positive,positive,2,positive
Weird contacts bug,United States,weird contacts bug,negative,18,-0.1779,negative,negative,negative,2,positive
sell as rep to curious buyers,Brazil,sell rep curious buyers,positive,23,0.3182,positive,negative,negative,2,positive
Mous Limitless vs Spigen Tough Armor for Iphone 17 Pro Max,United States,mous limitless vs spigen tough armor iphone pro max,negative,51,-0.128,negative,negative,negative,2,positive
My iphone 17 Pro max Screen on time 12h im surprised 🧡🪩.,United States,iphone pro max screen time im surprised,positive,39,0.2263,positive,positive,positive,2,positive
My iphone 17 Pro max Screen on time 12h im surprised 🧡🪩.,United States,iphone pro max screen time im surprised,positive,39,0.2263,positive,positive,positive,2,positive
My iPhone17 pro max is SO BEAUTIFUL 🧡🪩.,United States,iphone pro max beautiful,positive,24,0.5994,positive,positive,positive,2,positive
Having second thoughts about buying the new IPhone 17 Pro Max,United States,second thoughts buying new iphone pro max,neutral,41,0.0,neutral,positive,positive,2,positive
Second thoughts about buying the new IPhone 17 Pro Max,United States,second thoughts buying new iphone pro max,neutral,41,0.0,neutral,positive,positive,2,positive
I didn't expect to like my IPhone 17 Pro Max this much...,United States,didn expect like iphone pro max much,positive,36,0.3612,positive,positive,positive,2,positive
is there any cover that completely disables the useless camera button ?,United States,cover completely disables useless camera button,negative,47,-0.4728,negative,negative,negative,2,positive
"I cracked my phone, am I still able to get $1,100 toward the iphone 17 pro max?",United States,cracked phone still able get toward iphone pro max,positive,50,0.0,neutral,positive,positive,2,positive
