post,country,clean_post,sentiment,created_date,created_utc,vader_sentiment
Should i swap,United States,swap,neutral,,,neutral
Es esto una especia de scam?,United States,es esto una especia de scam,negative,,,negative
Massive issue.,United States,massive issue,neutral,,,neutral
iPhone 17 Pro Max Timeline,United States,iphone pro max timeline,neutral,,,neutral
Iphone 17 pro max oscilando volume em músicas,Spain,iphone pro max oscilando volume em sicas,neutral,,,neutral
CHALLENGE 6: GET THE IPHONE 17 PRO MAX,United States,challenge get iphone pro max,neutral,,,positive
Problems with Bold text in Messaging,United States,problems bold text messaging,positive,,,neutral
Regret buying the iphone 17 pro max in orange (reselling it),India,regret buying iphone pro max orange reselling,negative,,,negative
Story Issues - No Music,United States,story issues music,neutral,,,neutral
Plaisio.gr Iphone 17 available in store pick up?,United States,plaisio gr iphone available store pick,positive,,,neutral
Battery life iphone 17 pro max,United States,battery life iphone pro max,neutral,,,neutral
iphone 17 pro max back order,United States,iphone pro max back order,neutral,,,neutral
Iphone 17 Pro Max - blinking green pixel in AOD,United States,iphone pro max blinking green pixel aod,negative,,,neutral
60 most-viewed ASMR videos published on YouTube last week (2025-09-21 to 2025-09-27) [Discussion],United States,viewed asmr videos published youtube last week discussion,neutral,,,neutral
Moving to a new phone.,United States,moving new phone,positive,,,neutral
"Just got my orange iphone 17 pro max, thoughts?",United States,got orange iphone pro max thoughts,neutral,,,neutral
"Just got my orange iphone 17 pro max, thoughts?",United States,got orange iphone pro max thoughts,neutral,,,neutral
"Just got my orange iphone 17 pro max, thoughts?",United States,got orange iphone pro max thoughts,neutral,,,neutral
iPhone 17 Pro Max znovu překonal Samsung Galaxy S25 Ultra v testu výdrže. Pixel 10 Pro XL se plazí kilometr za nimi,Spain,iphone pro max znovu ekonal samsung galaxy ultra testu dr pixel pro xl se plaz kilometr za nimi,neutral,,,neutral
Help,United States,help,positive,,,positive
2 Terabytes,Philippines,terabytes,neutral,,,neutral
"Tomorrow is Mid-Autumn Festival, I still work at office......>_< are anyone same with me???",Chinese,tomorrow mid autumn festival still work office anyone,positive,,,positive
does app refreshing happen on latest iphones?,United States,app refreshing happen latest iphones,positive,,,neutral
Best store to pre-order iphone 17 pro max,Philippines,best store pre order iphone pro max,positive,,,positive
Best device for pubg.,United States,best device pubg,positive,,,positive
iphone 17 pro max flickering during day,United States,iphone pro max flickering day,neutral,,,neutral
Does anyone know how to get the silver case for the iphone 17 pro max since there all out of stock?,United States,anyone know get silver case iphone pro max since stock,neutral,,,neutral
IPHONE 17 PRO MAX vs VIVO X200 ULTRA vs SAMSUNG S25 ULTRA: Review of Photo and Video Capabilities!,United States,iphone pro max vs vivo ultra vs samsung ultra review photo video capabilities,neutral,,,neutral
Received my grip case for IPhone 17 pro max,United States,received grip case iphone pro max,neutral,,,neutral
Monsterkylare snabbar upp Iphone 17 Pro Max,United States,monsterkylare snabbar upp iphone pro max,neutral,,,neutral
lovely midnight apple silicone case combination for the iphone 17 pro max deep blue,United States,lovely midnight apple silicone case combination iphone pro max deep blue,positive,,,positive
Unable to login on IPhone 17 Pro Max,United States,unable login iphone pro max,negative,,,neutral
Iphone 17 Pro Max ESR,United States,iphone pro max esr,neutral,,,neutral
Iphone 17 pro max Aulumu Cases,United States,iphone pro max aulumu cases,neutral,,,neutral
Iphone 17 pro max freebies,Philippines,iphone pro max freebies,positive,,,positive
Iphone 17 Pro Max Battery Comparision Between IOS 26 and IOS 26.0.1 (Sim Card Version and charged up to 100%),United States,iphone pro max battery comparision ios ios sim card version charged,negative,,,negative
Finally upgraded my communication device,India,finally upgraded communication device,neutral,,,neutral
Iphone 17 Pro Max Cosmic Orange 512 gb 🧡🎃🍊,United States,iphone pro max cosmic orange gb,neutral,,,neutral
Iphone 17 pro max on installments,Pakistan,iphone pro max installments,neutral,,,neutral
Dust under brand new iphone 17 pro max camera lens,United States,dust brand new iphone pro max camera lens,positive,,,neutral
iphone 17 pro max availability florida,United States,iphone pro max availability florida,neutral,,,neutral
ios26 and iphone 17 pro max issues with group messages,United States,ios iphone pro max issues group messages,neutral,,,neutral
iPhone 17 Pro Max: o fim de uma era? O modelo dobrável da Apple pode roubar o trono,Spain,iphone pro max fim de uma era modelo dobr vel da apple pode roubar trono,neutral,,,neutral
"My first iphone, 17 pro max through mercantile",Pakistan,first iphone pro max mercantile,positive,,,neutral
